Timestamp,EEG Signal,Frequency,Amplitude
7.728,95.0,21.0,6.683628
7.728,95.0,22.0,9.542484
7.728,95.0,23.0,5.695755
7.728,95.0,24.0,3.6680386
7.728,95.0,25.0,19.524961
7.728,95.0,26.0,7.033636
7.728,95.0,27.0,6.637695
7.728,95.0,28.0,4.188515
7.728,95.0,29.0,7.8694134
7.728,95.0,30.0,10.302994
7.728,95.0,31.0,26.651716
7.728,95.0,32.0,3.1987135
7.728,95.0,33.0,1.7866247
7.728,95.0,34.0,5.3327384
7.728,95.0,35.0,3.8002136
7.728,95.0,36.0,4.916148
7.728,95.0,37.0,14.049076
7.728,95.0,38.0,9.351786
7.728,95.0,39.0,3.1443987
7.728,95.0,40.0,3.3972476
7.728,95.0,41.0,2.140999
7.728,95.0,42.0,3.3427122
7.728,95.0,43.0,3.9689534
7.728,95.0,44.0,6.7471585
7.728,95.0,45.0,3.816586
7.728,95.0,46.0,3.6062474
7.728,95.0,47.0,6.876065
7.728,95.0,48.0,6.096518
7.728,95.0,49.0,12.14654
7.728,95.0,50.0,183.90813
7.728,95.0,51.0,7.9162626
7.728,95.0,52.0,4.5613256
7.728,95.0,53.0,5.2481837
7.728,95.0,54.0,0.50848174
7.728,95.0,55.0,0.8479006
7.728,95.0,56.0,18.000076
7.728,95.0,57.0,7.2519383
7.728,95.0,58.0,3.314149
7.728,95.0,59.0,0.9871805
7.728,95.0,60.0,5.841953
7.728,95.0,61.0,5.7915487
7.728,95.0,62.0,10.284578
7.728,95.0,63.0,6.6307483
7.728,95.0,64.0,1.4079795
7.728,95.0,65.0,2.4814808
7.728,95.0,66.0,1.9699118
7.728,95.0,67.0,0.349193
7.728,95.0,68.0,3.7936409
7.728,95.0,69.0,6.059569
7.728,95.0,70.0,1.4845166
7.728,95.0,71.0,2.3789678
7.728,95.0,72.0,1.9795136
7.728,95.0,73.0,0.7111209
7.728,95.0,74.0,2.5319257
7.728,95.0,75.0,6.746041
7.728,95.0,76.0,2.168233
7.728,95.0,77.0,1.3103049
7.728,95.0,78.0,4.6517444
7.728,95.0,79.0,2.5626626
7.728,95.0,80.0,2.56367
7.728,95.0,81.0,8.265366
7.728,95.0,82.0,1.0467693
7.728,95.0,83.0,1.5354624
7.728,95.0,84.0,0.3469792
7.728,95.0,85.0,3.7434971
7.728,95.0,86.0,4.958891
7.728,95.0,87.0,13.465941
7.728,95.0,88.0,3.0033553
7.728,95.0,89.0,1.3029451
7.728,95.0,90.0,1.5133588
7.728,95.0,91.0,1.8443658
7.728,95.0,92.0,0.22444889
7.728,95.0,93.0,3.6375015
7.728,95.0,94.0,8.560121
7.728,95.0,95.0,1.3465698
7.728,95.0,96.0,1.3306364
7.728,95.0,97.0,4.4347615
7.728,95.0,98.0,0.871212
7.728,95.0,99.0,1.4606394
7.728,95.0,100.0,10.242931
7.728,95.0,101.0,2.3872805
7.728,95.0,102.0,0.72600275
7.728,95.0,103.0,3.1972272
7.728,95.0,104.0,0.52770364
7.728,95.0,105.0,1.4820225
7.728,95.0,106.0,17.644096
7.728,95.0,107.0,1.0471739
7.728,95.0,108.0,1.3321253
7.728,95.0,109.0,2.6494818
7.728,95.0,110.0,2.7239592
7.728,95.0,111.0,4.2055607
7.728,95.0,112.0,8.7154045
7.728,95.0,113.0,4.8784513
7.728,95.0,114.0,1.4052013
7.728,95.0,115.0,2.2332273
7.728,95.0,116.0,1.3910321
7.728,95.0,117.0,0.6083187
7.728,95.0,118.0,5.363039
7.728,95.0,119.0,12.252056
7.728,95.0,120.0,2.206418
7.728,95.0,121.0,2.0939643
7.728,95.0,122.0,1.936548
7.728,95.0,123.0,0.81362563
7.728,95.0,124.0,1.7003359
7.728,95.0,125.0,11.385277
7.728,95.0,126.0,0.10799195
7.728,95.0,127.0,0.87706107
8.793,96.0,0.0,24302.0
8.793,96.0,1.0,3.5915456
8.793,96.0,2.0,5.437622
8.793,96.0,3.0,9.293952
8.793,96.0,4.0,8.7036915
8.793,96.0,5.0,19.057867
8.793,96.0,6.0,118.08235
8.793,96.0,7.0,42.51407
8.793,96.0,8.0,20.016745
8.793,96.0,9.0,13.691322
8.793,96.0,10.0,15.644294
8.793,96.0,11.0,15.399971
8.793,96.0,12.0,28.336374
8.793,96.0,13.0,20.650438
8.793,96.0,14.0,5.762487
8.793,96.0,15.0,3.3247044
8.793,96.0,16.0,1.3782042
8.793,96.0,17.0,2.1059752
8.793,96.0,18.0,9.9248495
8.793,96.0,19.0,32.731346
8.793,96.0,20.0,7.7456665
8.793,96.0,21.0,5.8614783
8.793,96.0,22.0,8.295535
8.793,96.0,23.0,5.3620906
8.793,96.0,24.0,4.2342567
8.793,96.0,25.0,13.390457
8.793,96.0,26.0,3.454671
8.793,96.0,27.0,4.463681
8.793,96.0,28.0,5.6089516
8.793,96.0,29.0,4.769169
8.793,96.0,30.0,5.1832
8.793,96.0,31.0,21.652184
8.793,96.0,32.0,6.9720902
8.793,96.0,33.0,3.6453285
8.793,96.0,34.0,4.044233
